,OSOURCE,STATE,ZIP,CLUSTER,HOMEOWNR,GENDER,DATASRCE,SOLIH,VETERANS,RFA_2,RFA_2R,GEOCODE2,DOMAIN_A,DOMAIN_B
11093,SYN,IN,47403,49,H,F,3,,,L2E,L,C,R,2
11094,PLN,OTHER,38506,40,U,F,3,,,L1G,L,D,R,2
11095,STR,OTHER,85332,53,U,F,3,,,L3F,L,C,R,3
11096,BOA,CA,93309-,24,H,M,2,,,L1F,L,B,C,1
11097,DRK,CA,94509,37,H,F,2,,,L2E,L,A,T,2
11098,FCR,NC,28546,27,H,M,1,,Y,L4E,L,C,C,2
11099,ARG,OTHER,55038,40,H,M,3,,,L4F,L,A,T,2
11100,L01,CA,92545,31,U,M,3,,Y,L1F,L,A,C,3
11101,MCO,CA,90813,9,U,F,3,,,L2F,L,A,U,3
11102,SGI,OTHER,70726,39,H,F,2,,,L1F,L,B,T,2
11103,CWR,WA,98466,12,H,M,3,,,L1F,L,A,S,1
11104,FRC,OTHER,80210,22,U,F,3,,,L1F,L,B,C,1
11105,VIK,IL,60099,18,U,F,3,,,L3G,L,A,S,2
11106,IMP,FL,34652,33,U,,3,,,L2F,L,A,C,3
11107,BBK,NC,27401,32,U,F,3,,,L4D,L,B,C,3
11108,FOR,OTHER,40361,36,H,M,3,,,L1F,L,B,T,2
11109,PV3,TX,77038,31,H,F,2,,Y,L1F,L,A,C,3
11110,LHJ,OTHER,87501,27,U,F,3,,,L1E,L,C,C,2
11111,ADM,TX,77568,40,H,F,2,,,L1G,L,A,T,2
11112,GRI,MO,65202,24,U,F,3,,,L2F,L,C,C,1
11113,PBK,GA,31707,39,U,F,1,,,L4D,L,C,T,2
11114,DCD,FL,33156,14,H,F,1,,,L2F,L,A,S,1
11115,HJR,CA,94587,3,H,F,3,,,L1F,L,A,U,1
11116,ABC,OTHER,68124,13,H,M,3,,Y,L4D,L,B,S,1
11117,PTS,OTHER,85256-,30,U,M,2,,,L2G,L,A,C,3
11118,NWN,OTHER,35004,40,H,F,3,,,L2F,L,B,T,2
11119,HOS,FL,33313,9,H,F,3,,,L1G,L,A,U,3
11120,HOS,FL,32779,14,H,F,3,,,L2F,L,B,S,1
11121,ARG,CA,95816,9,U,M,3,,,L2F,L,B,U,3
11122,HMK,OTHER,68701,38,U,F,3,,,L1F,L,D,T,2
11123,IMP,OTHER,68136-,14,H,F,2,,,L1F,L,B,S,1
11124,OUL,WA,98148,18,H,M,3,,,L4F,L,A,S,2
11125,PHO,OTHER,42141,40,U,M,2,,,L1E,L,D,T,2
11126,IMP,MI,49428,9,U,M,3,,,L2E,L,B,U,3
11127,MBC,OTHER,80204-,8,U,M,3,,,L4D,L,B,U,3
11128,NWN,CA,92648,4,U,F,3,,,L1F,L,A,U,2
11129,PBL,MI,49931,48,U,F,3,12,,L2F,L,D,R,2
11130,BHG,OTHER,80210,15,U,F,3,,,L3E,L,B,S,1
11131,DNA,NC,28645,40,U,M,3,,,L3G,L,C,T,2
11132,ASP,OTHER,85013,9,H,F,3,12,,L3G,L,A,U,3
11133,CRG,NC,28262,25,U,F,3,,,L1G,L,B,C,2
11134,BHG,MO,63116,10,H,M,3,,,L2F,L,A,U,4
11135,MCC,OTHER,73110,11,H,F,3,,,L1F,L,B,S,1
11136,CFI,CA,95667,35,H,F,3,,,L3E,L,B,T,1
11137,ARG,OTHER,83709,12,H,F,3,,,L4E,L,C,S,1
11138,CAT,IL,62668,49,U,M,3,,,L2E,L,D,R,2
11139,SYC,GA,31008,35,U,M,1,,,L1F,L,B,T,1
11140,RMG,OTHER,38611,50,U,F,3,,,L1F,L,B,R,3
11141,,IL,60548,40,U,M,1,2,,L2F,L,C,T,2
11142,RPH,IN,46352,40,U,F,2,,,L3E,L,C,R,2
11143,HIL,OTHER,74056,46,U,F,3,,,L2F,L,B,R,2
11144,APP,CA,95117,3,H,F,3,,,L1F,L,A,U,1
11145,USB,OTHER,67108,49,U,M,3,,,L4E,L,B,R,2
11146,TX2,TX,77362,49,H,M,2,,,L1G,L,A,R,2
11147,MBC,IL,60452,17,H,M,3,,,L1F,L,A,S,2
11148,L02,CA,93306,20,H,F,1,,,L2E,L,B,S,2
11149,AMB,OTHER,69150,45,H,F,2,,,L1E,L,D,R,2
11150,DRK,TX,78210,16,H,U,3,,,L3F,L,B,S,2
11151,CFI,TX,75025-,20,H,M,3,,,L3E,L,A,S,2
11152,NWF,WI,54110,49,H,M,3,,,L1G,L,B,R,2
11153,PV3,IL,60639,6,H,F,1,,,L1F,L,A,U,2
11154,FRC,OTHER,72527,43,H,F,2,,,L4E,L,D,R,2
11155,DCD,CA,93515,38,U,F,3,,,L1F,L,D,T,2
11156,MAT,OTHER,57034,45,U,F,3,,,L2G,L,D,R,2
11157,GAR,CA,90059,10,U,M,3,,,L3E,L,A,U,4
11158,DCD,FL,34667,21,H,F,1,,,L1E,L,A,S,3
11159,STR,IN,47441,36,H,F,2,,,L2F,L,D,T,2
11160,L01,FL,32931,26,U,M,1,,Y,L3E,L,B,C,2
11161,SYN,WI,53105,44,H,M,3,,Y,L1F,L,A,R,2
11162,SYC,IL,60106,17,H,F,3,,,L1F,L,A,S,2
11163,AGR,MI,48374,35,H,M,3,,,L1G,L,A,T,1
11164,DRK,CA,92211,40,U,F,3,,,L1E,L,A,R,2
11165,BHG,IL,62893,49,U,F,3,12,,L1E,L,D,R,2
11166,HMP,CA,94566,24,U,F,3,,,L1G,L,A,C,1
11167,DRK,OTHER,74017,44,U,M,3,,,L1G,L,B,R,2
11168,DCD,TX,77879,53,U,F,3,,,L2F,L,D,R,3
11169,HJR,CA,95423,48,H,F,2,,Y,L1F,L,C,R,2
11170,LIS,OTHER,29385,36,H,M,2,12,Y,L1F,L,B,T,2
11171,GRI,MO,64836,41,U,F,3,12,,L2G,L,C,T,3
11172,BLI,OTHER,85382,29,U,M,3,,,L3G,L,A,C,2
11173,LIS,WI,54143,30,U,F,3,,,L2E,L,D,C,3
11174,AGR,OTHER,40218,17,H,F,3,,,L4F,L,B,S,2
11175,AMB,TX,75217,21,H,F,3,,,L4D,L,A,S,3
11176,ASE,OTHER,97333,24,U,M,1,,,L1F,L,C,C,1
11177,DON,OTHER,55810,30,H,F,3,,,L1G,L,B,C,3
11178,COS,IL,61373,49,U,F,2,,,L2E,L,C,R,2
11179,TWM,CA,95051,2,H,M,3,12,,L1G,L,A,U,1
11180,WKB,OTHER,80502-,26,U,F,3,,,L1E,L,B,C,2
11181,GRI,OTHER,97477,25,U,F,1,,,L2E,L,B,C,2
11182,HAN,IL,60083,38,H,F,3,,,L4F,L,A,T,2
11183,BHG,OTHER,72641,45,U,F,1,,,L4E,L,D,R,2
11184,LEO,OTHER,84780,46,U,U,2,,,L4G,L,D,R,2
11185,AML,CA,90744,31,H,M,3,,,L2E,L,A,C,3
11186,STR,OTHER,97321,44,U,F,3,,,L2E,L,C,R,2
11187,L11,OTHER,82943,40,H,M,2,,,L1G,L,D,T,2
11188,L21,OTHER,97128,42,H,M,3,,,L1G,L,B,R,1
11189,L01,TX,79763,39,U,M,3,,Y,L2F,L,C,T,2
11190,IMA,CA,94116,2,H,F,2,,Y,L1F,L,A,U,1
11191,AML,OTHER,50704,31,U,F,2,,,L3E,L,C,C,3
11192,L25,FL,33709,8,H,M,3,,Y,L3F,L,A,U,3
11193,HOS,WI,53213,3,H,F,3,,,L1F,L,B,U,1
11194,ABW,OTHER,80503,35,H,M,3,,,L1F,L,B,T,1
11195,WRG,IN,47371,36,H,F,3,,,L3F,L,D,T,2
11196,USB,FL,32819,12,H,F,3,,,L2F,L,B,S,1
11197,HCC,IL,60062,14,U,F,2,,,L3G,L,A,S,1
11198,TVF,TX,76661,45,U,F,3,,,L1F,L,D,R,2
11199,MCC,OTHER,39042,36,U,M,3,,,L3G,L,B,T,2
11200,HAN,TX,78043,13,U,F,3,,,L1F,L,C,S,1
11201,CNC,OTHER,70301,34,H,M,3,,Y,L1F,L,C,T,1
11202,BHG,GA,30582,34,U,F,1,,,L2G,L,D,T,1
11203,DRK,CA,91942,20,H,F,2,,,L1F,L,A,S,2
11204,BOA,OTHER,38701,39,U,M,3,,Y,L1G,L,C,T,2
11205,MBC,OTHER,35209,24,U,M,3,12,,L1G,L,B,C,1
11206,HOS,OTHER,85367,36,U,F,2,,,L4D,L,C,T,2
11207,BHG,MI,48334,13,H,M,2,,,L1F,L,A,S,1
11208,L02,OTHER,37415,26,U,F,3,,,L2E,L,B,C,2
11209,AMB,OTHER,40219,18,H,F,3,,Y,L4D,L,B,S,2
11210,AGS,OTHER,87505-,34,U,M,3,,,L1F,L,C,T,1
11211,DRK,CA,93638,49,H,F,3,,,L1F,L,C,R,2
11212,HHS,MO,65560,53,H,F,2,,,L1F,L,D,R,3
11213,MBC,OTHER,74012,27,H,M,2,,,L2F,L,B,C,2
11214,AML,IL,60409,31,H,M,3,,Y,L3F,L,A,C,3
11215,ARG,OTHER,71295,43,U,M,2,,,L3F,L,D,R,2
11216,SSL,FL,33487,23,H,F,2,,,L1F,L,B,C,1
11217,SYN,CA,92124,14,H,M,3,,,L1G,L,A,S,1
11218,IMP,CA,94116,3,U,F,3,,,L1E,L,A,U,1
11219,DRK,OTHER,67114-,40,H,F,3,,,L2E,L,B,T,2
11220,AML,OTHER,68154,40,U,,3,,,L4F,L,B,R,2
11221,AMB,CA,94134,30,H,F,1,,,L1G,L,A,C,3
11222,ESN,WA,98199,2,H,F,3,,,L4E,L,A,U,1
11223,WRG,FL,34609,36,H,F,3,,,L4E,L,A,T,2
11224,LKE,CA,95131,2,U,,3,,,L4D,L,A,U,1
11225,DCD,OTHER,96755,34,H,M,2,,,L2G,L,C,T,1
11226,AML,CA,94015,2,H,F,3,,,L2E,L,A,U,1
11227,DON,IN,46041,41,H,F,3,,,L1E,L,D,T,3
11228,FRC,CA,95758,44,U,F,3,,,L3E,L,B,R,2
11229,LHJ,CA,91326,14,H,F,3,,,L2F,L,A,S,1
11230,DUR,CA,92683,7,H,F,3,,,L3D,L,A,U,2
11231,AGR,OTHER,80013,2,U,F,3,,,L4D,L,B,U,1
11232,AML,IL,60617,8,H,M,3,,,L1F,L,A,U,3
11233,LKE,OTHER,72566,51,U,F,2,,,L1F,L,D,R,3
11234,MCC,OTHER,66611,22,H,F,3,,,L1F,L,C,C,1
11235,HOS,CA,90744,19,H,F,3,,,L1F,L,A,S,2
11236,APP,IL,60532,15,U,M,3,,Y,L1E,L,A,S,1
11237,COK,OTHER,67114,36,H,M,3,,,L4D,L,B,T,2
11238,HHL,CA,93010,26,U,F,3,,,L2F,L,A,C,2
11239,L01,NC,27511,25,U,M,3,,,L3G,L,B,C,2
11240,L04,IN,46107,16,U,F,3,,,L4E,L,B,S,2
11241,RPH,TX,75019,24,H,F,3,,,L3G,L,A,C,1
11242,AML,MO,65689,51,H,M,2,,,L4D,L,D,R,3
11243,ENQ,TX,75050,17,H,F,3,,,L4D,L,A,S,2
11244,NAS,TX,78046,40,H,M,2,,Y,L3D,L,C,R,2
11245,DHR,TX,75208,23,H,M,3,2,,L1F,L,A,C,1
11246,ARG,FL,32792,24,H,F,3,,,L2G,L,B,C,1
11247,SPN,TX,75904,40,H,F,2,,,L4F,L,C,R,2
11248,L02,CA,95608,2,H,F,2,,,L1F,L,B,U,1
11249,KIP,OTHER,36345,47,U,M,3,,,L1F,L,D,R,2
11250,L02,FL,33936,37,H,F,1,,,L3E,L,B,T,2
11251,WRG,TX,78801-,46,U,M,2,,,L1F,L,D,R,2
11252,MDC,TX,78063,46,H,F,2,,,L1F,L,D,R,2
11253,DLM,TX,76706,31,U,,3,,,L1F,L,C,C,3
11254,ARG,WI,53150,40,U,F,2,,,L1F,L,B,T,2
11255,L21,FL,34465,37,H,F,2,,,L4D,L,C,T,2
11256,CWR,IN,46220,22,H,F,3,,,L2F,L,B,C,1
11257,ARG,WI,53190,44,H,M,3,,Y,L3E,L,C,R,2
11258,ASH,WI,53403,16,U,F,2,,,L2F,L,B,S,2
11259,DUR,OTHER,36549,29,U,M,3,,,L3F,L,B,C,2
11260,DNA,MI,48038,35,U,M,3,,,L1F,L,A,T,1
11261,STR,OTHER,57702,49,H,F,2,,,L1F,L,C,R,2
11262,HOS,TX,75246,9,U,M,3,,,L1G,L,A,U,3
11263,AGR,MI,48127-,8,H,F,3,,,L1F,L,A,U,3
11264,STE,FL,34691,33,U,F,3,,,L3E,L,A,C,3
11265,HOS,CA,94538,20,H,F,3,,,L1F,L,A,S,2
11266,AML,IN,47408,25,H,F,3,,,L1F,L,C,C,2
11267,SUN,MI,48911,18,H,F,2,,,L1F,L,B,S,2
11268,BOA,FL,33114,10,U,M,2,,,L1G,L,A,U,4
11269,SYN,GA,30041,35,H,M,3,,,L1F,L,A,T,1
11270,HOS,CA,93650,30,U,F,3,,,L1F,L,B,C,3
11271,ARG,OTHER,89012,28,H,M,2,,,L4E,L,B,C,2
11272,MDC,TX,77036,9,U,,3,,,L3E,L,A,U,3
11273,SCP,OTHER,97420,37,U,F,2,,,L3E,L,C,T,2
11274,CNT,OTHER,97918,49,U,M,1,,,L1F,L,D,R,2
11275,ASC,WA,98226,35,H,M,3,,,L1G,L,C,T,1
11276,DRK,OTHER,73085,39,H,M,2,,,L3E,L,B,T,2
11277,SCL,TX,76117,21,H,F,3,,,L4D,L,A,S,3
11278,LEE,MO,65401,36,H,M,3,,,L1F,L,D,T,2
11279,ASC,OTHER,66762,38,U,M,3,,,L1F,L,D,T,2
11280,DNA,OTHER,55364,35,U,J,1,,,L1F,L,A,T,1
11281,HOS,FL,33051,24,U,F,2,,,L1G,L,C,C,1
11282,CWR,OTHER,29902,35,H,F,3,,,L1F,L,C,T,1
11283,BRY,OTHER,37645,36,U,F,2,,,L1F,L,B,T,2
11284,AML,OTHER,97124,18,U,M,3,,,L1G,L,B,S,2
11285,NWN,CA,95621,7,U,F,3,,,L2F,L,B,U,2
11286,MBC,NC,27871,50,H,F,3,,,L1F,L,D,R,3
11287,AGR,FL,33435,21,H,M,3,,,L2F,L,B,S,3
11288,LEO,TX,78213,13,U,M,2,,,L3E,L,B,S,1
11289,HCC,CA,90703,2,H,M,3,,,L2F,L,A,U,1
11290,LIS,OTHER,73055,45,H,M,2,,Y,L3D,L,D,R,2
11291,L02,IN,46219,13,H,F,3,,,L1F,L,B,S,1
11292,DON,OTHER,40330,49,U,F,3,,,L3F,L,D,R,2
11293,DUR,MI,48506,21,H,M,2,,Y,L4E,L,B,S,3
11294,IMP,GA,31406,35,H,F,3,,,L3E,L,B,T,1
11295,SYN,TX,75218,2,H,M,3,,Y,L1F,L,A,U,1
11296,PME,IL,60480,20,H,M,3,,,L1G,L,A,S,2
11297,MCO,CA,90069,1,H,M,2,,,L1G,L,A,U,1
11298,FRC,GA,30043,12,U,,3,,,L1F,L,A,S,1
11299,DDA,CA,94559,26,H,M,3,,,L1F,L,A,C,2
11300,AGR,NC,28056,36,U,F,3,,,L1F,L,B,T,2
11301,CNT,OTHER,85901,46,H,U,2,12,,L4D,L,C,R,2
11302,DON,CA,93304,30,U,F,1,,,L1E,L,B,C,3
11303,HAN,CA,93630,52,H,F,3,,,L1F,L,B,R,3
11304,HCC,CA,92701,1,H,F,3,,,L1F,L,A,U,1
11305,MBC,OTHER,84084,12,U,M,3,,Y,L3D,L,B,S,1
11306,MBC,OTHER,41166,51,U,F,2,,,L1F,L,D,R,3
11307,L01,CA,91343,2,H,M,3,,,L1F,L,A,U,1
11308,AMB,MI,49014,27,H,M,2,,,L1F,L,C,C,2
11309,MBC,WI,54143,28,H,M,3,12,,L2E,L,D,C,2
11310,L01,OTHER,97321,31,U,M,3,,,L1G,L,C,C,3
11311,ASC,OTHER,68104,8,H,M,3,,Y,L2E,L,B,U,3
11312,HCC,FL,32802,36,U,F,3,,,L3G,L,B,T,2
11313,DNA,GA,31210,47,H,M,2,,,L1G,L,B,R,2
11314,IMP,OTHER,37411,27,H,F,3,,,L1F,L,B,C,2
11315,GPS,NC,27877,50,H,F,3,,,L1F,L,D,R,3
11316,LIS,OTHER,35124,34,U,M,3,,,L3G,L,B,T,1
11317,UBA,FL,33733,10,U,M,3,,,L1F,L,A,U,4
11318,FRC,CA,91024,23,U,M,1,,,L1F,L,A,C,1
11319,IMP,TX,78210,16,H,F,3,,,L2F,L,B,S,2
11320,AML,OTHER,21037,40,U,M,1,,,L1G,L,A,R,2
11321,DUR,CA,91803,5,U,,3,,,L2G,L,A,U,2
11322,MSD,WI,54538,47,U,F,2,,,L2F,L,D,R,2
11323,SYN,CA,95010,15,H,M,2,,,L1F,L,A,S,1
11324,LOG,CA,90302,18,H,F,2,12,,L1G,L,A,S,2
11325,APP,CA,91392,19,U,M,3,12,,L4D,L,A,S,2
11326,L01,FL,32148,45,U,M,2,,Y,L1E,L,C,R,2
11327,ASC,MI,48238,10,H,M,2,,,L2E,L,A,U,4
11328,AGR,TX,77008,1,H,F,3,,,L2G,L,A,U,1
11329,AGR,OTHER,59715,49,U,F,3,,,L2F,L,D,R,2
11330,MBC,OTHER,71104,22,H,M,2,,,L1G,L,B,C,1
11331,SPN,OTHER,72422,53,H,M,3,,Y,L3F,L,D,R,3
11332,L01,IN,46056,49,U,M,3,,,L2G,L,C,R,2
11333,L01,MI,48832,51,H,M,3,,Y,L4D,L,D,R,3
11334,MBC,TX,75181,39,H,F,3,,Y,L2G,L,A,T,2
11335,ARG,CA,94545,5,H,F,3,,,L2F,L,A,U,2
11336,ARG,CA,91745,14,H,M,3,,Y,L1G,L,A,S,1
11337,AMB,OTHER,80155,21,U,F,2,,,L2E,L,B,S,3
11338,DNA,OTHER,83332,18,U,F,2,,,L4F,L,D,S,2
11339,L02,MO,64683,53,H,F,3,,,L4D,L,D,R,3
11340,QNT,GA,31705,44,H,M,3,12,Y,L3F,L,C,R,2
11341,SYN,CA,92103,4,U,F,2,,,L2G,L,A,U,2
11342,L11,WA,99016-,36,H,M,2,,,L1F,L,B,T,2
11343,L04,OTHER,85230,41,U,F,2,,,L3F,L,C,T,3
11344,WIS,OTHER,55109,18,H,M,3,,,L1F,L,A,S,2
11345,MCO,IL,60607-,29,U,F,1,,,L1G,L,A,C,2
11346,IMA,IN,47441,36,H,U,2,,Y,L1F,L,D,T,2
11347,AML,CA,92399,36,U,M,3,12,,L1F,L,A,T,2
11348,MBC,MI,48726,46,U,F,3,,,L4D,L,D,R,2
11349,STR,GA,31410,35,H,F,3,,,L2E,L,B,T,1
11350,SYN,IN,46222,30,U,F,3,,,L1F,L,B,C,3
11351,LIS,OTHER,35053,40,H,M,3,,,L2E,L,C,T,2
11352,WIG,TX,77581,14,H,F,3,,,L3E,L,A,S,1
11353,SYN,CA,94519,2,U,F,3,,,L1F,L,A,U,1
11354,NAS,CA,92507,22,U,F,3,,,L2G,L,A,C,1
11355,L02,CA,92037,13,H,F,3,,,L1F,L,A,S,1
11356,GPD,OTHER,67951,49,U,F,3,,,L1F,L,D,R,2
11357,DNA,CA,95621,22,U,M,3,,,L2E,L,B,C,1
11358,SGI,CA,90745,19,H,M,3,,,L1G,L,A,S,2
11359,AGR,OTHER,73505,27,H,M,2,,,L1F,L,C,C,2
11360,L01,OTHER,85051,9,U,M,1,,,L2E,L,A,U,3
11361,HCC,OTHER,29180,47,H,M,2,,,L1F,L,D,R,2
11362,MBC,WA,98277,39,U,M,3,,,L2F,L,C,T,2
11363,UCA,WA,98058,12,U,F,3,,,L2F,L,A,S,1
11364,SGI,GA,30189,40,H,F,3,,,L2F,L,A,R,2
11365,CNT,MO,63830,41,U,F,2,,,L3E,L,D,T,3
11366,HAR,OTHER,36319,50,U,F,3,,,L4D,L,C,R,3
11367,AGS,GA,31211,40,U,U,3,,,L2F,L,B,T,2
11368,RPH,NC,28303,27,H,M,2,,,L2E,L,B,C,2
11369,MCC,OTHER,29036-,42,H,M,3,,,L3D,L,B,R,1
11370,LEE,CA,95037,34,U,,3,,,L2F,L,A,T,1
11371,DUR,NC,27262,30,H,M,3,,,L2G,L,B,C,3
11372,DNA,OTHER,71108,16,U,M,3,,,L3E,L,B,S,2
11373,K3M,IL,60107,12,H,F,3,,,L3E,L,A,S,1
11374,LIS,TX,76126,30,U,F,3,,,L3F,L,A,C,3
11375,HHL,OTHER,70611,42,U,M,3,,,L2F,L,C,R,1
11376,CWR,FL,33573,23,H,M,3,,,L3F,L,A,C,1
11377,ANT,MO,65440,43,U,F,2,,,L4F,L,D,R,2
11378,PRV,MI,48430,40,U,F,3,,,L1F,L,A,T,2
11379,AML,WA,98339,43,H,M,3,,,L1F,L,D,R,2
11380,PV3,IL,60462,18,U,F,3,,,L3F,L,A,S,2
11381,KIP,OTHER,29817,50,U,M,3,,,L1F,L,D,R,3
11382,WRG,IL,60440,18,H,F,3,,,L1F,L,A,S,2
11383,SYN,OTHER,70056,12,H,F,2,,,L4E,L,B,S,1
11384,ARG,FL,32778,28,H,M,3,,,L1F,L,C,C,2
11385,TAS,FL,32277,18,U,M,2,,,L2F,L,B,S,2
11386,AGS,TX,79424,14,H,F,3,,,L1F,L,C,S,1
11387,DNA,NC,28401,32,U,F,3,,,L1G,L,C,C,3
11388,ASS,WI,53538,36,H,M,3,,Y,L1F,L,C,T,2
11389,SSL,OTHER,50036,41,U,F,2,0,,L2E,L,D,T,3
11390,CFI,OTHER,97206,9,U,F,3,,,L4D,L,B,U,3
11391,USA,MI,48609,39,H,M,3,,,L1F,L,B,T,2
11392,LIS,IN,47906,24,H,F,2,12,,L1F,L,C,C,1
11393,DCD,FL,33317-,26,H,F,3,,,L2F,L,A,C,2
11394,ARG,CA,94602,13,U,F,3,,,L4G,L,A,S,1
11395,ASE,NC,28314,39,H,M,3,,Y,L2F,L,B,T,2
11396,ABC,CA,91605,6,U,,3,,,L4E,L,A,U,2
11397,L02,GA,31405,50,U,F,3,,,L4D,L,B,R,3
11398,IMA,FL,33134,2,H,F,1,,,L1F,L,A,U,1
11399,SOP,CA,95691,30,U,F,1,,,L4D,L,B,C,3
11400,MBC,TX,76522,39,U,M,3,,Y,L4D,L,C,T,2
11401,MBC,CA,92075,24,H,F,3,,,L2G,L,A,C,1
11402,NWN,OTHER,80233,18,H,F,3,,,L4D,L,B,S,2
11403,OVS,CA,90405,1,H,F,2,,,L2E,L,A,U,1
11404,SYN,WA,99016,36,H,F,3,,,L3D,L,B,T,2
11405,BAN,WA,99352,27,H,F,3,,,L4E,L,C,C,2
11406,SUF,IN,47348,43,U,F,3,12,Y,L3D,L,D,R,2
11407,CRG,IL,60045,35,H,F,3,,,L1F,L,A,T,1
11408,HHH,OTHER,50401,40,U,F,3,,,L4F,L,D,T,2
11409,FRC,OTHER,38375,51,U,F,3,,,L3E,L,D,R,3
11410,TV1,OTHER,38367,51,U,F,2,,,L1F,L,D,R,3
11411,BRY,OTHER,37323,36,U,F,2,,,L2F,L,C,T,2
11412,MBC,OTHER,68776,30,U,M,3,,,L4D,L,C,C,3
11413,,MO,63017,15,U,F,1,12,,L1G,L,A,S,1
11414,ESN,OTHER,68154,13,H,M,1,,,L1F,L,B,S,1
11415,IMP,OTHER,38114,1,H,F,3,,,L1F,L,B,U,1
11416,MWD,OTHER,85338,40,H,F,2,12,,L1G,L,A,T,2
11417,L04,IL,60445-,21,H,F,3,12,,L4E,L,A,S,3
11418,FRC,IN,47660-,45,U,M,1,,,L3D,L,D,R,2
11419,AML,CA,93023,40,U,F,3,,,L1F,L,A,T,2
11420,FRC,IN,47546,38,U,F,3,,,L1E,L,D,T,2
11421,NWN,MI,49047,45,U,F,2,,,L1F,L,D,R,2
11422,PCL,TX,75482,36,U,M,3,,,L3G,L,D,T,2
11423,USB,OTHER,40475,49,U,F,3,,,L2F,L,C,R,2
11424,WKB,OTHER,83402,27,U,F,2,,,L1F,L,C,C,2
11425,SGI,CA,93245-,40,U,M,3,12,,L2G,L,C,R,2
11426,RSC,CA,95003,11,U,U,2,,,L2G,L,A,S,1
11427,RPH,CA,92646,2,H,F,2,,,L1F,L,A,U,1
11428,L16,CA,92307,40,H,F,3,,,L1F,L,A,T,2
11429,L21,GA,30084,12,H,M,3,,Y,L1F,L,A,S,1
11430,LIF,IL,60651,5,H,F,2,,,L1G,L,A,U,2
11431,COK,FL,33619,41,H,F,3,,Y,L1G,L,A,T,3
11432,IMP,IL,61701,24,H,F,3,,,L4E,L,C,C,1
11433,MON,OTHER,71411,50,U,F,2,,,L4D,L,D,R,3
11434,SSS,FL,33594,27,H,M,3,,,L1F,L,A,C,2
11435,FRC,WA,98092,40,U,,3,,,L2F,L,A,R,2
11436,SYN,NC,27302,44,U,F,3,,,L2F,L,C,R,2
11437,DRK,WA,98106,16,H,F,2,,,L1E,L,A,S,2
11438,ARG,OTHER,40927,51,U,M,2,,,L1F,L,D,R,3
11439,ESN,OTHER,89120,11,H,M,3,,,L3G,L,B,S,1
11440,SYC,CA,94601,7,U,M,3,,,L1F,L,A,U,2
11441,PV3,CA,93514,42,U,F,3,,,L1F,L,D,R,1
11442,PBL,OTHER,68501,18,U,F,3,,,L2G,L,C,S,2
11443,GUR,OTHER,84123,9,U,M,3,,,L2E,L,B,U,3
11444,BAN,WA,98934,49,U,M,3,,,L2F,L,D,R,2
11445,HAN,GA,30047,14,U,F,3,,,L1G,L,A,S,1
11446,SYN,FL,32312,35,H,F,3,,,L2E,L,B,T,1
11447,TVH,OTHER,55068,18,H,M,3,,,L1G,L,A,S,2
11448,HOW,TX,78213,21,H,F,3,,Y,L2E,L,B,S,3
11449,MBC,OTHER,42303,28,H,F,3,,,L4D,L,C,C,2
11450,HHH,OTHER,73010,49,H,M,2,,,L4D,L,B,R,2
11451,USB,CA,92555,24,H,M,1,,,L3E,L,A,C,1
11452,ARG,CA,95032,2,U,M,3,,,L1G,L,A,U,1
11453,ESN,IL,60611,1,H,F,3,,,L1F,L,A,U,1
11454,MBB,FL,32628,51,H,F,2,,,L3G,L,D,R,3
11455,DNA,WA,98632,30,H,M,3,,,L2E,L,C,C,3
11456,,OTHER,67427,45,U,F,3,2,,L1F,L,D,R,2
11457,RPC,MO,63026,18,H,U,3,,,L1G,L,A,S,2
11458,ANT,CA,90065,2,U,,3,,,L1G,L,A,U,1
11459,MAT,OTHER,85254,14,H,M,3,,Y,L3F,L,A,S,1
11460,,TX,75056,39,H,M,3,,Y,L1F,L,A,T,2
11461,ASS,CA,95482,34,H,M,3,,,L4F,L,C,T,1
11462,SEP,OTHER,29414,22,H,M,3,,,L1E,L,B,C,1
11463,TOR,IL,60201,8,H,F,3,,,L1G,L,A,U,3
11464,ASC,MO,64492,49,U,F,3,,,L1G,L,D,R,2
11465,DLM,FL,32233,30,H,F,3,,Y,L1G,L,B,C,3
11466,CHT,IL,62024,30,U,F,3,,,L2G,L,A,C,3
11467,ASC,FL,34285-,29,H,M,3,,,L3F,L,B,C,2
11468,BOA,CA,90631,12,H,F,2,12,,L1G,L,A,S,1
11469,LKE,OTHER,51543,51,U,F,2,,Y,L1F,L,D,R,3
11470,IMP,OTHER,68154,12,H,F,2,,,L2F,L,B,S,1
11471,AMB,CA,92057,18,H,F,2,,,L1G,L,A,S,2
11472,IMP,MI,49548,21,H,M,2,,,L2F,L,B,S,3
11473,STR,CA,94107,3,H,M,3,12,,L2F,L,A,U,1
11474,BHG,WI,54650,40,H,F,3,,,L3D,L,C,T,2
11475,BAN,OTHER,37659,36,H,F,2,,,L1F,L,B,T,2
11476,AMB,IL,61571,41,U,F,3,,,L2E,L,B,T,3
11477,MBC,OTHER,50701,30,H,F,3,12,,L1F,L,C,C,3
11478,HHH,OTHER,35762,11,U,F,3,,,L1F,L,B,S,1
11479,CWR,OTHER,80439,35,U,M,3,12,Y,L1G,L,B,T,1
11480,AMB,OTHER,97352,49,U,F,3,,,L3D,L,B,R,2
