OSOURCE,STATE,ZIP,CLUSTER,HOMEOWNR,GENDER,DATASRCE,SOLIH,VETERANS,RFA_2,RFA_2R,GEOCODE2,DOMAIN_A,DOMAIN_B
PV3,FL,33801,37.0,U,F,0,,,L1F,L,B,T,2
AML,TX,78749,12.0,U,F,3.0,,,L1F,L,B,S,1
LIS,WA,98908,40.0,U,M,0,,,L1F,L,C,T,2
RPH,CA,91906-,28.0,H,F,2.0,,,L1F,L,A,C,2
HOS,GA,30906,27.0,U,F,0,,,L4D,L,B,C,2
HHH,TX,76542,39.0,H,M,2.0,,,L1F,L,C,T,2
EAS,MI,48341,29.0,U,F,1.0,,,L1F,L,A,C,2
LVT,CA,92311,41.0,H,M,3.0,,,L1F,L,A,T,3
JNC,CA,92663,1.0,H,F,2.0,,,L1F,L,A,U,1
MCC,OTHER,70607,27.0,H,F,1.0,12.0,,L3G,L,C,C,2
IMA,CA,92691,3.0,H,F,1.0,,,L4D,L,A,U,1
NSH,CA,92264-,23.0,U,,0,,,L1F,L,A,C,1
MCO,CA,93111,13.0,H,M,2.0,,Y,L1F,L,B,S,1
MBC,OTHER,80920,11.0,U,F,0,,,L1F,L,B,S,1
JFY,CA,96025,45.0,H,M,3.0,,,L1E,L,D,R,2
BHG,TX,75228,9.0,H,F,3.0,,,L1G,L,A,U,3
OMH,OTHER,52641,36.0,H,M,2.0,,,L2F,L,D,T,2
GPS,FL,32223,14.0,H,M,3.0,,,L2F,L,B,S,1
SYN,TX,76017,12.0,H,F,2.0,,,L1F,L,A,S,1
ADD,CA,90028,9.0,U,F,2.0,,,L1F,L,A,U,3
MAT,TX,77072,2.0,H,U,2.0,,,L3E,L,A,U,1
DNA,CA,93023-,40.0,U,F,0,12.0,,L2G,L,A,T,2
L01,OTHER,37323,41.0,H,M,2.0,,,L2F,L,C,T,3
RMG,OTHER,74467,51.0,H,F,3.0,,,L1F,L,B,R,3
AML,WI,54824,46.0,U,F,2.0,,,L1F,L,D,R,2
BRY,CA,95242,27.0,H,F,3.0,,,L1E,L,B,C,2
IMP,IN,46231,39.0,H,F,2.0,,,L1F,L,B,T,2
LHJ,CA,94030,2.0,U,F,0,,,L3E,L,A,U,1
SSS,NC,27278,24.0,U,F,1.0,,,L3D,L,B,C,1
BHG,TX,77476,13.0,H,F,3.0,,,L1G,L,A,S,1
IMP,OTHER,97114-,40.0,U,F,2.0,,,L4D,L,B,T,2
IMP,IL,60924,45.0,H,M,2.0,,Y,L2E,L,D,R,2
PUR,GA,31406,20.0,U,F,0,,,L1F,L,B,S,2
CHT,CA,92284,36.0,H,F,3.0,,,L4D,L,A,T,2
DBL,CA,92123,27.0,U,M,0,,,L3E,L,A,C,2
LIS,CA,92102,10.0,H,F,3.0,,,L4D,L,A,U,4
MBC,OTHER,58801,41.0,U,F,1.0,,,L1F,L,D,T,3
DCD,IN,47394,46.0,U,F,0,,,L4G,L,D,R,2
WWM,WA,98597,39.0,U,U,2.0,,,L1F,L,C,T,2
LHJ,WA,99036,44.0,U,F,0,,,L2E,L,B,R,2
IMP,OTHER,86040,39.0,H,M,2.0,,,L3G,L,C,T,2
WRG,MI,48103,16.0,U,M,3.0,,,L3E,L,A,S,2
AGR,NC,28043,41.0,H,F,2.0,,,L1F,L,C,T,3
WKB,OTHER,41810,51.0,U,F,0,,,L4D,L,D,R,3
,GA,31419,12.0,H,F,3.0,,,L1F,L,B,S,1
AHC,OTHER,84070,2.0,U,,0,,,L1G,L,B,U,1
L21,CA,92649,15.0,H,F,3.0,,,L1G,L,A,S,1
WIG,IL,61951,45.0,U,,0,,,L1E,L,D,R,2
HOS,OTHER,36330-,1.0,U,F,0,,,L4F,L,D,U,1
ALZ,TX,77079,11.0,U,M,3.0,,,L2F,L,A,S,1
COS,IN,46563,36.0,U,U,2.0,,,L1G,L,D,T,2
VIK,IL,60014,35.0,H,F,3.0,,,L4E,L,A,T,1
LIS,IL,60514,24.0,H,M,3.0,,Y,L4G,L,A,C,1
BHG,TX,78734,42.0,U,,0,,,L1G,L,B,R,1
SYN,FL,34974,37.0,H,M,3.0,,,L3F,L,D,T,2
CFI,OTHER,40359,45.0,U,F,2.0,,,L1F,L,D,R,2
FIV,NC,27403,22.0,U,M,0,,,L1F,L,B,C,1
ASP,TX,75025,14.0,H,F,2.0,,,L3F,L,A,S,1
D02,CA,93291,27.0,H,F,3.0,,,L3F,L,B,C,2
PGR,GA,30094,40.0,H,U,2.0,,,L1F,L,A,T,2
WIG,MI,48846,36.0,U,F,3.0,,,L1F,L,D,T,2
ASC,TX,76531-,48.0,U,F,0,,,L4D,L,D,R,2
USB,IL,62269,46.0,H,M,3.0,,,L3G,L,A,R,2
MAT,CA,93950,22.0,U,F,0,,,L2G,L,B,C,1
NAS,WA,98250,42.0,U,F,0,,,L1F,L,D,R,1
PV3,OTHER,87114,40.0,U,F,0,,,L4D,L,B,T,2
CNT,IL,60140,42.0,U,F,3.0,,,L1G,L,A,R,1
L01,OTHER,55407,5.0,H,M,3.0,,,L4D,L,A,U,2
MIL,OTHER,66216,14.0,U,M,0,,,L1F,L,B,S,1
MB1,NC,28207,23.0,H,F,3.0,,Y,L1F,L,B,C,1
ASK,CA,95670,11.0,H,F,3.0,,,L1G,L,B,S,1
IMA,CA,91316,5.0,U,F,0,,,L3E,L,A,U,2
CAW,OTHER,58656,53.0,U,M,2.0,,,L1F,L,D,R,3
QNT,WA,99111-,40.0,U,F,1.0,,,L3G,L,D,R,2
IMP,MI,49837,36.0,H,M,2.0,,,L2F,L,D,T,2
MBC,OTHER,67212,14.0,H,F,2.0,,,L3F,L,B,S,1
MCC,CA,92546,28.0,H,M,2.0,,,L1E,L,A,C,2
AML,CA,93215,35.0,H,M,3.0,,,L1G,L,B,T,1
BOA,OTHER,85282,3.0,H,M,3.0,12.0,,L1G,L,A,U,1
DNL,OTHER,85635,28.0,U,M,1.0,,,L1G,L,C,C,2
AVN,FL,33702-,37.0,U,F,0,,,L4D,L,A,T,2
COM,TX,77706,24.0,U,F,0,12.0,,L1G,L,B,C,1
FRC,TX,77401,24.0,H,F,3.0,,,L1F,L,A,C,1
MCC,CA,92064,18.0,H,M,2.0,,,L1G,L,A,S,2
HAN,NC,28205,25.0,H,F,1.0,,,L1F,L,B,C,2
TV1,MO,64131,13.0,U,F,2.0,,,L1F,L,B,S,1
AML,IL,62675,45.0,U,,0,,,L4D,L,C,R,2
HOS,NC,27529,35.0,H,F,3.0,,,L1F,L,B,T,1
WKB,WA,98664,16.0,H,F,2.0,,,L2F,L,B,S,2
BHG,CA,95965,36.0,H,F,3.0,,,L3E,L,C,T,2
DNA,WA,98008,17.0,U,M,3.0,,,L1G,L,A,S,2
L24,IL,60067,3.0,H,F,3.0,,Y,L3F,L,A,U,1
ARG,OTHER,58201,27.0,U,F,2.0,,,L3E,L,C,C,2
ARG,OTHER,55109,10.0,U,F,3.0,,,L3F,L,A,U,4
MAT,MI,48439,35.0,H,F,3.0,,Y,L1F,L,B,T,1
WRG,FL,33781,21.0,U,M,0,,,L1F,L,A,S,3
NSH,NC,27248,51.0,U,M,3.0,,,L1F,L,B,R,3
AML,FL,34119,35.0,U,,0,,,L1F,L,C,T,1
CFI,WA,98516,35.0,H,M,2.0,,,L4D,L,C,T,1
HER,OTHER,81424,45.0,H,F,2.0,,,L2E,L,D,R,2
MBC,WA,98029,40.0,H,F,2.0,,Y,L1G,L,A,R,2
AMB,FL,34113,40.0,U,M,0,,,L2G,L,C,R,2
IMP,OTHER,55446,14.0,H,F,3.0,,,L4E,L,A,S,1
IMP,MI,49286,44.0,H,M,2.0,,,L1F,L,C,R,2
SMM,CA,93012,24.0,U,F,2.0,,Y,L4E,L,A,C,1
HAM,CA,95116,8.0,H,F,3.0,,,L1G,L,A,U,3
BHW,OTHER,35057,44.0,H,M,3.0,,,L1F,L,C,R,2
MBC,GA,31024,49.0,U,F,0,,,L2E,L,D,R,2
HHH,FL,33807,31.0,U,M,2.0,,,L3E,L,B,C,3
FRC,CA,94022,13.0,H,M,2.0,,,L1G,L,A,S,1
APP,OTHER,29605,23.0,H,F,3.0,,,L1G,L,B,C,1
AGR,TX,77449,40.0,U,F,0,,,L3F,L,A,T,2
BHG,CA,94618,3.0,H,F,3.0,,,L3D,L,A,U,1
AR1,OTHER,56378-,40.0,U,F,0,12.0,,L2G,L,C,R,2
BHG,WA,98040,13.0,U,M,0,,,L1F,L,A,S,1
AML,WI,54870-,44.0,H,M,3.0,,,L3D,L,D,R,2
LHJ,NC,27863,47.0,U,M,2.0,,,L1F,L,C,R,2
AGR,FL,33131,1.0,U,M,0,,,L1F,L,A,U,1
MBC,TX,78228,10.0,H,F,3.0,,,L4E,L,B,U,4
SYN,TX,76117,21.0,H,F,3.0,,,L2G,L,A,S,3
FRC,OTHER,97030,18.0,U,,0,,,L1F,L,B,S,2
COS,IL,60435,25.0,H,M,3.0,,Y,L3D,L,A,C,2
MM3,OTHER,52302,44.0,U,M,0,,,L4D,L,C,R,2
PME,GA,30178,43.0,U,F,0,,,L4F,L,C,R,2
ARG,FL,34428,48.0,U,F,0,,,L4E,L,C,R,2
HOS,OTHER,89434,20.0,H,F,1.0,,Y,L1F,L,B,S,2
AMB,OTHER,72762,40.0,H,F,3.0,,,L3E,L,C,T,2
AGR,NC,27409,38.0,H,F,3.0,,,L4D,L,B,T,2
AMB,OTHER,80004,20.0,U,F,3.0,,,L3D,L,B,S,2
ENQ,NC,27573,47.0,H,M,2.0,,,L2E,L,D,R,2
AKM,OTHER,67460,28.0,H,F,3.0,,,L1F,L,D,C,2
BHG,MI,49001,40.0,U,F,0,12.0,,L4F,L,C,R,2
SYN,GA,31328,42.0,U,M,0,,,L1G,L,B,R,1
HOS,FL,33066,18.0,H,F,2.0,,,L4F,L,A,S,2
DEL,OTHER,87108,20.0,H,F,2.0,,,L1F,L,B,S,2
HHH,OTHER,36830,22.0,H,F,3.0,,,L2F,L,C,C,1
NSH,TX,78102,36.0,H,F,3.0,,,L1F,L,D,T,2
SSS,WI,53073,40.0,U,M,3.0,,,L3E,L,C,T,2
UBA,OTHER,68048-,36.0,U,F,0,,,L4D,L,D,T,2
STL,CA,91711,3.0,U,M,0,6.0,,L4G,L,A,U,1
L15,CA,92708,2.0,H,M,3.0,,,L1F,L,A,U,1
GRT,OTHER,97008,11.0,H,F,3.0,,,L1F,L,B,S,1
GRI,WI,53147,40.0,U,M,1.0,12.0,,L1G,L,C,R,2
MCC,TX,77418,42.0,U,F,2.0,,,L2F,L,D,R,1
L01,OTHER,86004-,44.0,U,M,0,,,L3D,L,C,R,2
IMA,WI,54619-,43.0,H,F,2.0,,,L4D,L,D,R,2
AVN,FL,32725,40.0,H,F,1.0,,,L2F,L,B,T,2
MBC,IL,60633,21.0,U,F,1.0,12.0,,L2G,L,A,S,3
LIS,OTHER,39402,23.0,U,F,3.0,,,L3E,L,C,C,1
MBC,CA,91792,19.0,H,M,3.0,,,L1F,L,A,S,2
AGR,OTHER,81521,43.0,U,M,0,,,L1F,L,C,R,2
TX2,TX,77066,22.0,H,M,3.0,,,L1F,L,A,C,1
ESN,CA,94134,6.0,U,F,0,12.0,,L1G,L,A,U,2
HOS,IL,61802,18.0,H,U,3.0,,,L1F,L,C,S,2
ESN,OTHER,69101,36.0,H,M,3.0,,,L2F,L,D,T,2
L04,OTHER,80906,13.0,H,F,2.0,,,L2G,L,B,S,1
AGS,NC,28677,41.0,H,F,3.0,,,L1F,L,C,T,3
KNG,OTHER,66102,30.0,H,F,3.0,,,L1G,L,B,C,3
MBC,IN,46041,44.0,U,F,3.0,,,L4D,L,D,R,2
AVN,CA,91355,24.0,H,F,3.0,,,L1F,L,A,C,1
TIM,OTHER,97230,28.0,H,M,1.0,,,L1F,L,B,C,2
IMP,MO,63010,18.0,H,M,2.0,,,L2G,L,A,S,2
NTW,OTHER,29482,13.0,H,F,3.0,,,L1F,L,B,S,1
SGI,OTHER,97064,43.0,U,F,3.0,,,L1F,L,D,R,2
SGI,IN,47394-,45.0,H,F,2.0,,,L1F,L,D,R,2
THE,OTHER,70582,39.0,H,F,2.0,,Y,L4D,L,C,T,2
SSS,OTHER,4078,40.0,H,M,3.0,12.0,,L2G,L,B,R,2
BOA,FL,34229,23.0,U,M,0,,,L1G,L,B,C,1
PBL,CA,92262,23.0,U,M,0,,Y,L3E,L,A,C,1
BHG,OTHER,74434,43.0,H,M,3.0,,,L1G,L,C,R,2
WKB,NC,27203,36.0,U,F,3.0,,,L1E,L,B,T,2
L04,OTHER,71202,43.0,H,F,3.0,,,L1F,L,C,R,2
WRG,GA,31794,39.0,H,F,3.0,,,L1F,L,D,T,2
DBL,OTHER,41043,51.0,H,M,2.0,,,L1G,L,D,R,3
HOS,GA,30331,18.0,H,F,3.0,,,L1F,L,A,S,2
AMB,MO,63957,48.0,H,F,2.0,,,L1F,L,D,R,2
AGR,FL,32211,20.0,U,M,0,,,L2F,L,B,S,2
HOR,OTHER,74531,53.0,U,F,0,,,L2G,L,D,R,3
ESN,IL,60402,40.0,U,M,3.0,,,L1G,L,A,R,2
LKE,OTHER,37407,32.0,H,F,3.0,,,L4F,L,B,C,3
L21,FL,33462,21.0,H,M,3.0,,Y,L3E,L,B,S,3
ASK,TX,79424,14.0,H,F,3.0,,,L1F,L,C,S,1
L02,OTHER,39209-,40.0,U,F,0,,,L1F,L,B,R,2
AMB,CA,92307,46.0,H,F,3.0,,,L3D,L,A,R,2
LIS,MO,63123,13.0,H,F,3.0,,Y,L1E,L,A,S,1
LKE,CA,92587,35.0,U,M,2.0,,,L1F,L,A,T,1
NAS,WA,98188,18.0,U,,0,,,L1G,L,A,S,2
DNA,MI,49004,27.0,H,M,3.0,12.0,Y,L1F,L,C,C,2
LKE,FL,34217,23.0,H,U,2.0,,,L1F,L,B,C,1
L04,WA,98813,52.0,H,F,2.0,,,L1F,L,D,R,3
FRC,CA,92677-,41.0,U,F,0,,,L2F,L,A,T,3
NAS,NC,28394,46.0,H,F,2.0,,Y,L1F,L,C,R,2
UCA,CA,95338,26.0,U,F,0,,,L1F,L,D,C,2
LEO,OTHER,81122,18.0,U,M,0,,,L3F,L,D,S,2
ARG,CA,94110,7.0,U,F,0,,,L3F,L,A,U,2
FCR,FL,33904-,21.0,H,M,2.0,12.0,,L1E,L,B,S,3
HCC,CA,93401,2.0,U,M,0,,,L2F,L,C,U,1
USB,OTHER,89129,17.0,U,M,0,,,L3F,L,B,S,2
AMB,OTHER,29520,42.0,H,F,3.0,,,L2E,L,D,R,1
AML,OTHER,55371,45.0,U,M,3.0,,,L1E,L,D,R,2
PGR,OTHER,29406,21.0,H,M,2.0,,,L1F,L,B,S,3
HOS,FL,33540,37.0,H,M,3.0,,,L4D,L,A,T,2
AML,IL,60613,1.0,H,M,3.0,,,L1G,L,A,U,1
MCC,GA,31088,27.0,H,F,3.0,,,L1F,L,B,C,2
IWD,OTHER,67201-,13.0,H,M,3.0,,,L1F,L,B,S,1
FAR,OTHER,58425,45.0,U,M,0,,,L2F,L,D,R,2
RPH,FL,33009,3.0,H,F,3.0,,,L3G,L,A,U,1
CNT,OTHER,82501,38.0,H,M,2.0,,,L1G,L,D,T,2
WRG,OTHER,66111,18.0,H,M,2.0,,,L1F,L,B,S,2
ASC,WA,98406,5.0,H,M,3.0,,,L1E,L,A,U,2
AMB,TX,79065,40.0,H,F,3.0,,,L1G,L,D,T,2
HOS,GA,30093,17.0,H,F,2.0,,,L3E,L,A,S,2
LHJ,CA,93505,42.0,H,M,3.0,,Y,L2E,L,B,R,1
BRY,TX,78207,10.0,H,F,3.0,,,L3E,L,B,U,4
STV,OTHER,83402,34.0,H,M,2.0,,,L1G,L,C,T,1
AGS,CA,92692,15.0,U,M,0,,,L2F,L,A,S,1
L04,MI,49874,51.0,U,F,0,,,L4G,L,D,R,3
DEL,WA,98029,40.0,U,F,1.0,,,L1F,L,A,R,2
FRC,OTHER,09645-,24.0,H,F,3.0,,,L1F,L,U,C,1
GDA,OTHER,37870,51.0,U,F,2.0,,,L2F,L,D,R,3
NSN,OTHER,29550,39.0,H,F,2.0,,Y,L2F,L,C,T,2
DNA,TX,77029,30.0,H,M,3.0,,Y,L2F,L,A,C,3
ENQ,MI,48185,16.0,H,F,2.0,,,L1F,L,A,S,2
CRG,OTHER,89115,21.0,U,F,0,,,L3E,L,B,S,3
HOS,MO,64507,30.0,H,M,3.0,,,L3D,L,C,C,3
BOA,TX,77041,21.0,U,F,0,,,L1F,L,A,S,3
PCA,CA,90510,10.0,U,M,2.0,12.0,,L1F,L,A,U,4
LEO,OTHER,56446,51.0,U,F,3.0,,,L1F,L,D,R,3
DEL,TX,76528,49.0,H,M,3.0,,Y,L4D,L,C,R,2
L21,OTHER,89701,27.0,H,M,3.0,,,L1F,L,D,C,2
BHG,NC,28778,28.0,U,F,0,,,L1F,L,C,C,2
HOW,NC,28326,49.0,U,M,3.0,,Y,L1G,L,C,R,2
GAR,OTHER,80110-,40.0,U,F,0,,,L4D,L,B,T,2
SGI,OTHER,97266,18.0,U,F,0,12.0,,L1G,L,B,S,2
SYN,IL,60640,4.0,U,F,0,,,L1F,L,A,U,2
IMP,GA,30087,11.0,H,M,3.0,,,L2G,L,A,S,1
AMB,FL,32114,31.0,U,F,0,,,L2G,L,B,C,3
MIC,FL,33919,23.0,H,F,1.0,,,L1F,L,B,C,1
STR,FL,33054,21.0,U,F,0,,,L4D,L,A,S,3
MAT,WI,54935,30.0,U,F,2.0,,,L4G,L,C,C,3
NSL,OTHER,74133,24.0,U,M,3.0,12.0,,L1G,L,B,C,1
HHN,CA,92708,2.0,H,U,2.0,,,L3D,L,A,U,1
L04,IN,46581,41.0,U,F,0,,,L3D,L,C,T,3
DRK,OTHER,55391,14.0,U,,0,,,L1E,L,A,S,1
BHG,GA,30350,13.0,H,F,2.0,,Y,L4F,L,A,S,1
PLU,IL,62522,24.0,U,F,0,,,L4D,L,C,C,1
HHH,TX,76148,24.0,H,F,3.0,,,L1F,L,A,C,1
MCC,OTHER,74014,40.0,U,M,2.0,,,L2E,L,B,T,2
TX2,GA,30134,39.0,H,M,2.0,,Y,L2F,L,A,T,2
DRK,IL,62801,36.0,U,F,3.0,12.0,,L1E,L,A,T,2
HAN,NC,27027,51.0,H,F,3.0,,,L3E,L,C,R,3
,IL,60634,7.0,U,M,3.0,,,L1G,L,A,U,2
WKB,CA,95322-,46.0,H,M,2.0,,,L4D,L,C,R,2
AMB,MI,48624,53.0,U,M,2.0,,,L1G,L,D,R,3
HAN,WI,53002,44.0,H,F,2.0,,,L2E,L,B,R,2
AHC,OTHER,40214,30.0,H,F,3.0,,,L3F,L,B,C,3
NSH,MI,48111,38.0,H,F,3.0,,,L1F,L,A,T,2
NAD,FL,33919,24.0,U,M,0,,,L4G,L,B,C,1
STR,NC,28791,40.0,H,F,2.0,12.0,,L2E,L,C,R,2
CNT,OTHER,84047,18.0,H,F,1.0,,,L2F,L,B,S,2
HAM,OTHER,59802,39.0,U,F,1.0,,,L2F,L,C,T,2
ALZ,CA,92117,17.0,U,,0,,Y,L1F,L,A,S,2
DCD,OTHER,56258,40.0,U,F,1.0,,,L1F,L,D,T,2
AVN,GA,30032,32.0,H,F,2.0,,,L1F,L,A,C,3
MCO,MI,48451,44.0,H,F,2.0,,,L1F,L,B,R,2
FOR,OTHER,80026,34.0,U,M,0,,,L2F,L,B,T,1
ESN,CA,94947,35.0,H,M,1.0,,Y,L2F,L,A,T,1
HAM,MI,48207,1.0,U,M,2.0,,,L1F,L,A,U,1
RMG,NC,28697,46.0,U,M,0,,,L2F,L,C,R,2
MBC,NC,28472,47.0,U,F,1.0,,,L4F,L,D,R,2
AGR,CA,90034,1.0,U,F,0,,,L2F,L,A,U,1
APP,CA,90277,15.0,H,F,3.0,12.0,,L2E,L,A,S,1
L11,MI,48845,51.0,H,M,3.0,,Y,L3G,L,D,R,3
CNT,WA,98223,44.0,H,F,3.0,,,L1G,L,A,R,2
MBC,OTHER,67432,53.0,U,M,3.0,,,L1E,L,D,R,3
L01,CA,92316,19.0,H,M,2.0,,,L1G,L,A,S,2
L15,TX,78503,23.0,H,M,3.0,,,L1F,L,B,C,1
SSS,OTHER,67502,40.0,U,M,0,12.0,,L2E,L,C,T,2
FRC,WA,98577,45.0,U,F,0,,,L2G,L,D,R,2
RPH,TX,75501,39.0,H,F,3.0,,,L1F,L,C,T,2
IMP,IL,61520,38.0,H,M,3.0,,,L1F,L,D,T,2
FRC,TX,75230,13.0,U,M,0,,,L1G,L,A,S,1
LIS,CA,91344,40.0,H,F,3.0,,,L4D,L,A,T,2
NAS,OTHER,72120,40.0,H,M,3.0,12.0,,L3E,L,B,T,2
CFI,GA,30094,35.0,H,M,3.0,,,L2F,L,A,T,1
HHH,MI,48393,18.0,H,F,3.0,,,L4F,L,A,S,2
MBC,TX,79414,27.0,H,F,3.0,,,L1F,L,C,C,2
SGI,MO,63902,41.0,U,M,3.0,,,L3F,L,D,T,3
RED,OTHER,72764,36.0,H,M,3.0,,,L1F,L,C,T,2
SYN,FL,32207,24.0,H,F,2.0,,Y,L1F,L,B,C,1
MBC,OTHER,80138,15.0,H,F,2.0,,,L1F,L,D,S,1
SYN,OTHER,38826,40.0,H,F,3.0,,,L4E,L,C,T,2
AML,MI,48822,42.0,U,F,1.0,,,L4E,L,B,R,1
L21,OTHER,55733,42.0,H,M,3.0,,,L2F,L,D,R,1
WKB,OTHER,56401,41.0,H,F,3.0,,,L1E,L,D,T,3
WIG,OTHER,85717,31.0,H,F,2.0,,,L1F,L,B,C,3
PBL,OTHER,50022,41.0,U,F,0,,,L3E,L,D,T,3
SYN,OTHER,37326,53.0,U,F,2.0,,,L1F,L,D,R,3
SPT,OTHER,70508,40.0,H,M,3.0,,,L3F,L,C,T,2
DUR,OTHER,52761,49.0,H,F,3.0,,,L2F,L,D,R,2
STL,IL,62920,43.0,U,F,2.0,,,L2F,L,D,R,2
HCC,WA,98126,25.0,U,F,3.0,,,L2G,L,A,C,2
ADM,FL,33157,18.0,U,F,0,,,L4F,L,A,S,2
ENQ,TX,79762,24.0,H,F,3.0,,Y,L3E,L,C,C,1
L01,NC,27203,36.0,H,F,3.0,,,L2F,L,B,T,2
DEL,CA,92504,27.0,H,F,3.0,,,L1G,L,A,C,2
HOS,FL,32440,36.0,U,F,0,,,L2F,L,D,T,2
PBL,OTHER,74017,39.0,H,F,2.0,,,L4F,L,B,T,2
FLD,CA,94606,8.0,H,F,3.0,,,L2E,L,A,U,3
TVH,FL,34233,21.0,H,M,3.0,,,L1F,L,B,S,3
UCA,TX,77584,36.0,U,M,1.0,,,L3F,L,A,T,2
RPH,GA,30008,27.0,H,U,3.0,,,L1F,L,A,C,2
L02,OTHER,58413,53.0,U,F,3.0,,,L2E,L,D,R,3
SUN,OTHER,71325,47.0,U,,0,,,L1F,L,C,R,2
HFS,NC,27320,49.0,U,M,0,,Y,L1E,L,C,R,2
SPN,WI,54162,43.0,U,F,3.0,,,L3D,L,C,R,2
SGI,OTHER,97525,38.0,U,M,0,,,L1F,L,C,T,2
SYN,OTHER,52334,46.0,U,F,2.0,,,L3E,L,D,R,2
L04,OTHER,66046,27.0,U,F,3.0,,,L4E,L,C,C,2
TYL,CA,92227,46.0,U,F,0,,,L1F,L,C,R,2
DBL,OTHER,39701,25.0,U,M,0,,,L1F,L,C,C,2
L04,OTHER,84105,3.0,U,F,0,,Y,L1F,L,B,U,1
FRC,CA,91203,4.0,U,F,3.0,,,L3E,L,A,U,2
AMB,OTHER,40208,25.0,H,F,3.0,,,L3E,L,B,C,2
L01,OTHER,42276,46.0,H,M,3.0,,,L4F,L,D,R,2
,OTHER,97062,12.0,U,M,0,12.0,,L1F,L,B,S,1
ARG,OTHER,72204,27.0,H,M,3.0,,,L4E,L,B,C,2
SYN,FL,33809,38.0,U,F,0,,,L1F,L,B,T,2
L11,OTHER,85730,31.0,H,M,3.0,,Y,L3E,L,B,C,3
L04,CA,94558,23.0,H,F,3.0,,Y,L3E,L,A,C,1
MCC,GA,31216,40.0,H,M,3.0,,,L1F,L,B,T,2
DTR,CA,94549,14.0,H,F,3.0,,,L1F,L,A,S,1
,OTHER,40601,40.0,H,M,3.0,,,L2F,L,D,T,2
DUR,WA,98328,44.0,H,F,2.0,,,L2E,L,A,R,2
LEE,TX,76708,28.0,H,J,2.0,,Y,L4D,L,C,C,2
PLU,MO,63042,15.0,H,M,3.0,,,L2G,L,A,S,1
IMP,CA,91909,21.0,U,M,0,,Y,L3D,L,A,S,3
HHH,CA,94544-,8.0,U,U,0,,,L1F,L,A,U,3
SGI,MO,63052,39.0,H,F,3.0,,,L1G,L,A,T,2
HOS,CA,90004,9.0,U,U,3.0,,,L2F,L,A,U,3
LIS,MI,48336,17.0,H,M,3.0,,Y,L2G,L,A,S,2
STV,OTHER,40242,10.0,H,F,1.0,,,L2G,L,B,U,4
L01,MO,63031,20.0,H,F,3.0,,,L1F,L,A,S,2
BHG,OTHER,97632,43.0,H,F,3.0,,,L1G,L,C,R,2
SYN,CA,92069,20.0,H,F,3.0,,,L3E,L,A,S,2
SUM,MI,48197,35.0,H,M,2.0,,Y,L3E,L,A,T,1
PV3,IL,62218,36.0,U,M,3.0,,,L2E,L,A,T,2
AML,WI,54313,27.0,H,M,3.0,,,L3E,L,C,C,2
LIS,CA,93611,35.0,U,F,2.0,,,L1F,L,B,T,1
HOS,IN,47302,30.0,H,F,3.0,,,L2F,L,C,C,3
FRC,MO,64804,28.0,U,,0,,,L1F,L,C,C,2
BHG,IN,46013,40.0,H,F,2.0,,Y,L3F,L,C,T,2
TX2,GA,30519,40.0,H,M,3.0,,Y,L1F,L,A,R,2
LHJ,OTHER,71858,50.0,U,M,0,,,L1F,L,D,R,3
SYN,FL,32112,48.0,H,F,3.0,,,L3E,L,C,R,2
CFI,CA,90712,9.0,H,F,3.0,,,L2F,L,A,U,3
AML,OTHER,70816,27.0,U,F,0,,,L4D,L,B,C,2
HER,MI,49097,40.0,H,M,3.0,,,L2F,L,C,T,2
AGR,MI,48307,12.0,H,F,2.0,,,L3E,L,A,S,1
FRC,NC,28801,25.0,U,F,3.0,,,L4D,L,C,C,2
ESN,TX,75229,21.0,H,M,3.0,,,L4D,L,A,S,3
FRC,CA,90049,1.0,U,M,3.0,,,L2F,L,A,U,1
CHK,OTHER,80229,16.0,H,M,3.0,,Y,L1F,L,B,S,2
SYC,OTHER,85028,13.0,U,F,2.0,,,L3E,L,A,S,1
IMA,WA,98277-,30.0,U,F,2.0,,,L4E,L,C,C,3
AML,WA,98422-,40.0,U,M,0,,,L1F,L,A,T,2
RPC,MO,63141,13.0,H,M,3.0,,,L3G,L,A,S,1
MBC,OTHER,88210,40.0,U,,0,,,L3D,L,D,T,2
HAN,FL,32320,36.0,H,F,2.0,,,L2F,L,D,T,2
CNT,OTHER,99701,27.0,U,F,2.0,,,L1G,L,C,C,2
SSS,IL,60513,16.0,H,M,3.0,,Y,L1F,L,A,S,2
IMA,NC,28390,34.0,U,F,0,,,L3F,L,B,T,1
CNC,FL,34235,28.0,U,M,0,,,L1G,L,B,C,2
TVF,WA,98270,17.0,U,F,2.0,,,L1F,L,A,S,2
FRC,TX,77005,2.0,H,F,2.0,,,L2F,L,A,U,1
DEL,OTHER,67663,38.0,H,M,3.0,,,L1F,L,D,T,2
IWD,OTHER,67209,35.0,H,F,2.0,,,L2G,L,B,T,1
MBC,TX,75755,43.0,H,M,2.0,,,L1G,L,D,R,2
CWR,CA,94541,8.0,H,F,3.0,,,L4E,L,A,U,3
MCC,OTHER,67301-,36.0,H,F,3.0,,,L4D,L,D,T,2
AHC,CA,92629-,23.0,H,M,2.0,,,L3E,L,A,C,1
ARG,WA,98370,38.0,U,M,0,,,L2F,L,C,T,2
